id,kwic,lemma
d822b8197b77865d5bf9adf745d6e81e27ba,Möglichkeiten,Möglichkeit
69ed25304d1183a2bfc3df477c6fe5f0981e,Wirksamkeit,Wirksamkeit
4dad6e986988ee0d62ce999d3e6304a05fdd,Möglichkeit,Möglichkeit
7196486fd911811bc1d048e6f76c88bf82b8,Tätigkeit,Tätigkeit
de3c1463374eaeb6f1b43f061a91ebdeac3c,Sicherheit,Sicherheit
638dae8dc53d3128bc933fa93b30b386f870,Gesundheit,Gesundheit
5e4e201b077688ca832ea84a5bd5958f79cf,Mehrheit,Mehrheit
fdb3da6c1695c8475b12ecdffedf85aa653e,Beschäftigungsmöglichkeiten,Möglichkeit
1ce4ebdd782f3d1bbdc755cc49544e4b69d8,Vergangenheit,Vergangenheit
e2579337ea2e1979e9746b1100d2e2f138b9,Tätigkeit,Tätigkeit
0901f20d7fe2e422d91c05afbf6a7df84a02,ERziehungsschwierigkeiten,Schwierigkeit
35a6523c55d7faee578cc3383e4e77695b05,Unsicherheit,Sicherheit
7e8f106136d65eb1b34b8aa650bde7043703,Schönheit,Schönheit
e7ed8b37cd73f9e2e0fbaa7e101e834229f9,Wahrscheinlichkeit,Wahrscheinlichkeit
fcb14f82592bf546ef49c77ee4450ae50d77,Niederlassungsfreiheit,Freiheit
af977c35bc33d8b42c6e1a6e3b3d6766d4cc,Möglichkeiten,Möglichkeit
af977c35bc33d8b42c6e1a6e3b3d6766d4cc,Möglichkeiten,Möglichkeit
852679c24c8c013f98085b843197dd215a96,Bitterkeit,Bitterkeit
c753ff0857f66f778bf86bbd5a224519215a,Wichtigkeit,Wichtigkeit
faadbb9214413b8ea55619e8fd1526e1bc32,Brüderlichkeit,Brüderlichkeit
829c0b2cc8b182243dcc3afa3b4671b01443,Schutzlosigkeit,Schutzlosigkeit
0047ce7de5a13290e41b8692f15bffe38b9a,Schönheit,Schönheit
7329aaa7b1fb836d4dc59eaaa779cd49dda0,Klarheit,Klarheit
ef1287bb81768d2c8a6e015499a8093749f1,Klimagerechtigkeit,Gerechtigkeit
89d9ba168b97c160dbe2cc4d590933621699,Sanktionsmöglichkeiten,Möglichkeit
d0ea22cfe1ab0fb58eb67af825c198f9bcef,Müdigkeit,Müdigkeit
92e6cb2d822392e2c30b8cf5a0a8984b0b42,Möglichkeiten,Möglichkeit
e811ec9bb25098af271efd9313e60f855c99,Lichtgeschwindigkeit,Geschwindigkeit
8337389024f337f79ac161c6d0abada0d8dd,Möglichkeit, Möglichkeit 
03d5575e439f603faf94474eb3eaaf566dce,Ordnungswidrigkeit,Ordnungswidrigkeit
f5da9318d4338275942ddd26fdd9cb8000c4,Vergangenheit,Vergangenheit 
2223d4b985c518e0db409d25938aa5d64f0d,Überlegenheit,Überlegenheit 
0af7a9857e894d0daa6357e32b1397e9535c,Abhängigkeit,Abhängigkeit
e8862289e7725c3fff7ca41a183b7a96e9c5,Freiheit,Freiheit 
3b9b21d782f616e2dd9d5e3e0c3d2ed5a8e8,Wahrheit,Wahrheit
f621baa354488b5fef6d5bed44f4438d0c9d,Arbeitsmöglichkeiten,Möglichkeit
3dd0e864c52663efcc47f0a6f23efbca7227,Neuigkeiten,Neuigkeit
118a990c41342923e8b4a1604737f661150a,Seltsamkeit,Seltsamkeit
f0a91e39fb49479e42d05646fe5be9274ac2,Möglichkeit,Möglichkeit
e2e71c0181efaf93481185eaab314cc70ad7,Gleichförmigkeit,Gleichförmigkeit
8780cc774baf8305daeebfc73c3ae2ed150b,Abhängigkeit,Abhängigkeit
4aef0b6610814785b9e770cd1a3f66c6e55e,Krankheit,Krankheit
4d6e722056f46945a2666e0dc4946f245757,Minderheiten,Minderheit
8148775494b84d44b137f1120f25b208ca1b,Öffentlichkeit,Öffentlichkeit
f9f69d65bf6f513e061c3bb7be6f07f898bc,Nutzlosigkeit,Nutzlosigkeit
